id;initial;text;before;texten;scenarios,
0;Intro;Tu és o representante de um pequeno país. O teu povo vive feliz e canta pelas ruas. \r\n\tContudo, o teu país recebeu uma ameaça de invasão de um país inimigo. \r\n\tAgora, deverás tomar diversas decisões e as tuas escolhas irão determinar se o teu povo irá ou não cair nas mãos do inimigo. \r\n\tDe acordo com as leis do país terás dois conselheiros para te ajudar nas decisões. \r\n\tDesde já, deves começar a agir e escolher uma das seguintes decisões:;DP1;You are the leader of a small country. Your people live happily and sing on the streets. \r\n\tHowever, your country receives the threat of invasion from an enemy country. \r\n\tNow you will have to make decisions, and your choices will determine if your people will fall into the enemy's hands. \r\n\tAccording to the country's policy, two counsellors will assist you in making decisions. \r\n\tYou should start acting and making decisions right away:;castle
1;Sc1;Obedecendo-te, os mensageiros correm pelas ruas avisando a população para que se reúnam na praça central. \r\n\tIndo para lá, tu percebes que há muitos murmúrios pelas ruas! \r\n\tAo te aproximares da praça, uma pessoa pergunta-te se é verdade a ameaça de invasão. \r\n\tTu respondes o seguinte: ;DG1;Following your request, your messengers run through the streets warning everyone to come to the main square. \r\n\tOn your way there you realize there is commotion on the streets! \r\n\tCloser to the square someone approaches you and ask if the threat of invasion is true. \r\n\tYou answer one of the following: ;market
2;Sc2;Ao chegar ao palco, respiras fundo e sobes as escadas para fazer o discurso. \r\n\tSentes que deves fazer uma declaração que acalme a população, porque a expectativa de uma batalha está a gerar o princípio do caos. \r\n\tDeste modo, declaras que:;DP2;When you reach the stage you take a deep breath and climb the stairs to make the speech. \r\n\tYou feel like you should make a statement to calm the population because the expectation for battle is starting to create chaos. \r\n\tSo you declare that: ;market
3;Sc3;Então, vais para a tua residência e mandas começar os preparativos para o baile e avisa que será esta noite. \r\n\tPensas se deves fazer um discurso no meio do baile. \r\n\tApercebes-te que, ao fazê-lo poderás deixar a população mais calma ou ter um efeito contrário.;DG2;So, you go to your residence and order to start the preparations for the ball and warn everyone that it shall be tonight. \r\n\tYou ponder if you should make a speech in the middle of the ball. \r\n\tYou realize that by doing so you might leave the people calmer or have an adverse effect.  ;ball
4;Sc4;Chega à noite, a banda começa a tocar e todos se divertem. \r\n\tNotas que o teu povo está se sentindo mais confiante para a batalha. \r\n\tEm uma situação como esta, tu:;DP4;At nightfall, the band starts playing and everyone is having fun. \r\n\tYou realize that the people are feeling more confident for the battle. \r\n\tIn a situation like this, you: ;ball
5;Sc5;O teu objetivo foi alcançado, a população está mais tranquila e confiante. \r\n\tNo final da festa dois conselheiros desejam conversar contigo. \r\n\tO primeiro sugere que convides o líder que fez a ameaça para fazer uma visita. O outro, sugere que prepares as defesas o mais rapidamente possível. \r\n\tDesta forma, tomas a seguinte decisão: ;DP7;Your goal was reached, the population is more calm and confident. \r\n\tAfter the ball, two advisors come to you wishing to speak. \r\n\tThe first one, advises you to invite the enemy’s leader for a visit. The other suggests you should prepare your defences as soon as possible. \r\n\tSo, you choose: ;ball
6;Sc6;Passou-se um dia desde que envias-te o mensageiro. Estás na sala de reuniões com alguns conselheiros. \r\n\tUm deles informa-te que tens que reforçar as muralhas do castelo, e outro que tens que reforçar o portão de entrada. \r\n\tTu decides:;DG3;One day has passed since you sent the messenger. You are in the Meeting Hall with your advisors. \r\n\tOne of them informs you that the castle walls need to be reinforced. Another one suggests you should reinforce the main gate. \r\n\tYou decide: ;meeting
7;Sc7;Na sala de reuniões viram-se todos, pois, a porta abre-se. \r\n\tO teu convidado é anunciado. \r\n\tApós algumas horas, ele começou a contar vantagens, e um conselheiro veio falar contigo, informando que ele estava apenas fazendo tempo. \r\n\tDeste modo, qual a atitude que vais tomar?;DP10;The door of the meeting hall opens, and everyone turns to look. \r\n\tYour guest is announced and comes into the room. \r\n\tThe guest talks for a while and one of your advisors whisper to you that the enemy has been stalling you. \r\n\tWhat shall you do?  ;meeting
8;Sc8;Passam-se horas e o inimigo só conversa, parece que ele está a ganhar tempo para alguma coisa. \r\n\tDeste modo,;DP11;The enemy keeps talking like he is winning time for something else. \r\n\tWhat shall do you do? ;meeting
9;Sc9;Ele sentiu-se ofendido por ter sido interrompido, fecha o punho, bate na mesa e retira-se da sala. \r\n\tAntes de sair da sala ele vira-se e grita: “Tu vais-te arrepender disto!”;DG5;He felt offended to be interrupted, closes his fist, hits the table and leaves the room. \r\n\tBefore he goes through the door, he turns and shouts: “You will regret this!” ;meeting
10;Sc10;Assim que ele sai da sala, descobres que um dos teus conselheiros havia enviado espiões para o país inimigo. \r\n\tEles informaram que o país inimigo tem 10 mil habitantes, sem conseguirem precisar quem é militar. \r\n\tEntão:;DP12;As soon as he leaves the room, you find that one of your advisors had sent spies to the enemy’ country. \r\n\tThey inform you that they have 10 thousand habitants, without being able to precise how many are military or not. \r\n\tSo, you have to decide: ;meeting
11;Sc11;Com a decisão tomada, terminas a reunião e vais para a torre onde tens uma vista do país. \r\n\tConsegues visualizar o acesso principal da cidade, e:;DP34;With your decision taken you finish the meeting and go to the tower where you have a view of your country. \r\n\tFrom there, you can see the main access of the city, and:;castle
12;Sc12;Corres para a sala de reuniões com a decisão em mente e notas que não há bandeiras do teu país em lugar algum. \r\n\tTu, pensas:;DP35;You run to the meeting room with the decision in mind and realise that there are no flags of your country in any place. \r\n\tYou think: ;meeting
13;Sc13;Um conselheiro informa-te que o portão de entrada está em perigo. \r\n\tEntão, decides mandar seguir a ideia que tivestes na torre. \r\n\tTu:;DP36;An advisor informs that the main gate is in danger. \r\n\tYou order to put into action the idea that you had on the tower. \r\n\tThis way: ;meeting
14;Sc14;Os teus espiões avisam-te que os inimigos montaram fogueiras, dando uma trégua na batalha. \r\n\tAlguns conselheiros gritam para atacar. Outros, aconselham-te que os nossos militares também precisam de descanso. \r\n\tDeste modo, tu ;DP26;Your spies warn you that the enemy has lit fires, giving a truce to the battle. \r\n\tSome advisors shout that you should strike. Others advise that our troops need rest. \r\n\tSo you decide: ;meeting
15;Sc15;Um serviçal entra na sala e oferece-te uma bebida. Nunca o tinhas visto antes. \r\n\tTu:;DG9;A waiter enters the room and offers you a drink. You had never seen him before. \r\n\tYou: ;meeting
16;Sc16;Espiões informam-te que o exército inimigo estava a preparar uma emboscada, onde iríamos ser surpreendidos. \r\n\tUm mensageiro informa-te que há outro exército na colina mais distante e acredita ter visto um brasão aliado. \r\n\tPrecisas tomar uma decisão.;DP27;Spies inform you that the army of the enemy was preparing for an ambush, and our troops were caught off guard. \r\n\tA messenger informs you that there is another army on the farthest hill, and he believes he has seen an allied flag. \r\n\tYou need to make a decision:;meeting
17;Sc17;O espião retorna. \r\n\tEle está com a roupa suja de sangue! \r\n\tMal conseguindo respirar, informa-te que é um exército aliado e está sob o ataque do inimigo. \r\n\tNeste momento, precisas tomar uma decisão:;DP28;The spy returns. \r\n\tHis clothes are bloody. \r\n\tOut of breath, he informs you that the allied army is under attack from the enemy. \r\n\tAt this moment, you decide: ;meeting
18;Sc18;Alguns conselheiros aprovam esta atitude, pois, o país ficaria fragilizado. \r\n\tComo consequência, o exército aliado acabou sendo capturado pelos inimigos e passaram para o lado adversário. \r\n\tAgora em maior número preparam-se para te fazer um ataque. \r\n\tPrecisas tomar uma decisão:;DP30;Some advisors approve this attitude since the country would be fragile otherwise. \r\n\tHowever, this effort was not enough, and the allies ended up being captured by the enemy, and they are now fighting for them. \r\n\tNow, in greater numbers they prepare to make an attack. \r\n\tWhat will you do?  ;meeting
19;Sc19;O líder inimigo vem ao teu encontro e chegam a um acordo. \r\n\tSem que haja mais guerras, o teu país irá contribuir com um imposto.;Final1;The enemy leader comes to you and both reach an agreement. \r\n\tWithout more wars, your country will start to be taxed by the other nation. ;country
20;Sc20;Solicitas ao mensageiro que chame todos os conselheiros para a sala de reuniões. \r\n\tIndo para lá, uma pessoa pergunta-te se é verdade a ameaça de invasão. \r\n\tTu respondes o seguinte: ;DG10;You ask the messenger to summon every advisor to the meeting hall. \r\n\tOn your way there, someone asks if the threat is real. \r\n\tYou answer: ;meeting
21;Sc21;Na sala que é composta por uma grande mesa de madeira escura, com o mapa detalhado do teu país ao centro, há uma cadeira com encosto mais alto que corresponde ao teu lugar. \r\n\tEntras na sala e sentas-te. \r\n\tPassam-se alguns segundos de silêncio, até que tu: ;DP3;The room that has a dark wooden table with a large map of your country at the centre, there is a seat with a high backrest that corresponds to your seat. \r\n\tYou enter the room and take a seat in that chair. \r\n\tA few seconds of silence pass, until you: ;meeting
22;Sc22;Ao estar ciente da situação, todos se focam nas melhores estratégias de defesa e ataque. \r\n\tSolicitas uma lista das armas disponíveis. \r\n\tEm seguida, batem na porta e o conselheiro mais próximo vai ver quem é. \r\n\tEm segundos ele retorna a informar que há uma pessoa com informações. \r\n\tEntão:;DP6;Being aware of the situation, everyone focuses themselves on the best strategies for attack and defence. \r\n\tYou ask for a list of available weapons. \r\n\tSomeone knocks on the door and the nearest counsellor answers. \r\n\tHe returns and tells you, there is someone with information. \r\n\tThen:;meeting
23;Sc23;Um jovem rapaz, entra na sala. \r\n\tEle não consegue falar, para tentar fazê-lo falar, tu:;DG11;A young man enters the room. \r\n\tHe cannot speak, so to try to make him speak, you:;meeting
24;Sc24;Ele consegue falar e diz que é um enviado do líder do país inimigo e informa que o seu líder quer a tua presença no país dele. \r\n\tSendo assim: ;DP31;He starts to talk, and inform that he is a messenger from the enemy and that his leader requests you to meet him in his country. \r\n\tSo you: ;meeting
25;Sc25;No teu escritório, pensas que precisas de opiniões e mandas convocar o conselho na sala de reuniões! \r\n\tTemos armas, militares e muros que circundam a maior parte das terras, portanto, acreditas que o teu povo está a salvo. Entretanto, desconheces a força do teu oponente. \r\n\tEntão comunicas que estás com dúvidas se pedes ou não ajuda aos teus aliados. \r\n\tNão houve consenso e tomas a seguinte decisão:;DP5;In your office, you realize you need other opinions. Then, you order the council to be summoned to the meeting room. \r\n\tYou have weapons, soldiers and walls that surround the majority of your lands, however, you do not know the strength of your enemy. \r\n\tSo, you inform the council that you have doubts about asking your allies for help. \r\n\tThere was not a consensus. So, you make the decision: ;office
26;Sc26;Diriges-te para o teu quarto, e antes de lá chegares dois conselheiros pedem uma audiência particular.  \r\n\tO primeiro sugere que convides o líder que fez a ameaça para fazer uma visita. O outro, sugere que prepares as defesas o mais rapidamente possível. \r\n\tDesta forma, tomas a seguinte decisão: ;DP7;You go to your room, but before you get there, two counsellors ask for a private audience. \r\n\tThe first one, suggest you should invite the enemy leader for a meeting. The other one, suggests you should prepare your defences as fast as possible. \r\n\tSo, you make a decision: ;office
27;Sc27;Estás num profundo pensamento, quando observas um clarão estranho sobre algumas residências ao longe. \r\n\tEm questão de segundos começas a ouvir gritos, barulhos ensurdecedores como se fossem balas de canhões. \r\n\tA GUERRA COMEÇOU!! \r\n\tConsegues ver as tropas do inimigo tentando garantir o acesso às ruas principais. \r\n\tSendo assim, pensas em:;DP18;You are in a deep thought when you observe a bright light over a few houses in the distance. \r\n\tIn a matter of seconds you hear screams, and loud noises that sound like cannons. \r\n\tThe WAR HAS STARTED! \r\n\tYou can see the enemy trying to guarantee access to the main streets. \r\n\tSo, you decide: ;castle
28;Sc28;Com essa ação, as tuas defesas ficaram fragilizadas. \r\n\tO teu país ficou exposto! \r\n\tUm dos conselheiros acredita que iremos ser atacados em breve e como não há defesas, todos serão mortos. \r\n\tSendo assim:;DP32;With that action, your defence became fragile. \r\n\tYour country is exposed! \r\n\tA counsellor believes that we will be attacked soon, and since there is no defence, we will all be killed. \r\n\tSo you: ;country
29;Sc29;Com essa ação, as tuas defesas ficaram fragilizadas e o teu país ficou exposto! \r\n\tPorém,o  teu exército conseguiu se juntar aos aliados e juntos conseguem mudar o rumo da batalha. \r\n\tUm mensageiro entra e informa aos gritos que “VENCEMOS!!!!” \r\n\tPor este motivo, tu:;DP29;That decision leaves your defences fragile and your country is exposed. \r\n\tHowever, your army is able to join the allies, and together they turn the battle in your favour. \r\n\tA messenger enters the room shouting: “WE WON! \r\n\tSo you: ;country
30;Sc30;O teu povo recebe os teus militares e os seus aliados como heróis! \r\n\tMandas cuidar dos feridos e dar assistência às famílias dos que se foram para sempre. \r\n\tInformas que haverá um banquete e a festa de vitória será em homenagem a eles! Parabéns pela vitória!;Final2;Your people receive your army and allies as heroes. \r\n\tYou requests that the wounded should be treated, and assistance should be given to the families of the ones who died. \r\n\tYou inform that there will be a banquet, and a celebration to honour them! Congratulations on your victory!  ;victory
31;Sc31;“A ameaça de ataque foi algo inusitado e imprevisível, o país não está preparado para isso!” \r\n\tHá divergências de opiniões sobre se o país está preparado. \r\n\tPermanences em silêncio enquanto aguardas a deliberação do conselho. \r\n\tEm seguida, falas: “-Será que preciso de aliados?” \r\n\tNão houve consenso e, tomas a seguinte decisão:;DP5;“The threat of attack was something unexpected and the country was not prepared for this!” \r\n\tThere are different opinions on the preparation of your country for war. \r\n\tYou remain in silence while your council deliberates a solution. \r\n\tThen you speak: “Do we need allies? \r\n\tThere was no consensus, so, you decide:;meeting
32;Sc32;Ao chegar ao local onde estariam os inimigos, o teu exército foi surpreendido por uma emboscada! \r\n\tA vantagem que era tua, agora é do inimigo. \r\n\tUm mensageiro informa que há um outro exército na colina mais distante e acredita ter visto um brasão aliado. \r\n\tPrecisas tomar uma decisão.;DP27;When they were reaching your enemies, your army was surprised by an ambush. \r\n\tYour enemies now have the advantage. \r\n\tA messenger informs you that there is another army on the farthest hill, and he believes he has seen an allied flag. \r\n\tYou need to make a decision: ;country
33;Sc33;O conselheiro retorna a informar que um mensageiro do país inimigo trouxe um convite para ires visitá-lo. \r\n\tNesse momento a maioria do conselho grita que é uma armadilha. \r\n\tSendo assim:;DP31;The counsellor returns informing that the messenger of the enemy brought an invitation for you to meet with his leader in his country. \r\n\tThe majority of your counsellors shout that it is a trap. \r\n\tSo you: ;meeting
34;Sc34;Passou-se um dia desde que mandaste fortalecer as defesas. Além disso, descobriste que um conselheiro havia enviado um convite para o líder adversário visitar o vosso país. \r\n\t Estás na sala de reuniões com alguns conselheiros. \r\n\tUm deles informa que tens que reforçar as paredes do castelo, e outro que tens que reforçar o portão de entrada. \r\n\tTu decides:;DG3;A day has passed since you ordered the improvement of your defences, and you find out that one of your counsellors has sent an invitation to the enemy leader to a meeting in your country. \r\n\tYou are in the meeting room with some advisors. \r\n\tOne of them, informs you that you need to reinforce the castle walls and another one that you should reinforce the main gate. \r\n\tSo you:;country
35;Sc35;Nesse momento a porta da sala abre-se, um mensageiro do país inimigo avisa que a presença do seu líder é necessária. \r\n\tO líder inimigo levanta-se para se despedir, e tu;DG14;At that moment, the door opens and an enemy messenger informs that his leader presence is needed. \r\n\tThe leader stands up to bid farewell, and you: ;meeting
36;Sc36;Um serviçal entra na sala e oferece-te uma bebida. Nunca o tinhas visto antes. \r\n\tTu:;DG19;A waiter enters the room and offers you a drink. You had never seen him before. \r\n\tSo you:;meeting
37;Sc37;Alguns conselheiros aprovam essa atitude, pois, preferem ficar vivos. \r\n\tSendo assim:;DP30;Some advisors approve this attitude because they prefer to be alive. \r\n\tIn this way:;meeting
38;Sc38;Estavas certo ao seguir os teus princípios, pois, o inimigo não tinha força suficiente para atacar o teu país. O teu exército e o do aliado derrotam o inimigo. \r\n\tSaístes da guerra VITORIOSO! \r\n\tAssim tu:;DP29;You were right to follow your principles because the enemy did not have enough strength to attack your country. Your army and the allies defeated the enemy. \r\n\tYou ended this war as a VICTORIOUS! \r\n\tThen you:;meeting
39;Sc39;Em seguida, um conselheiro informa que o nosso país tem uns 5 mil militares. \r\n\tFazendo as contas mentalmente, tu:;DP33;Following, another advisor informs you that our country has 5 thousand soldiers. \r\n\tDoing maths mentally, you:;meeting
40;Sc40;Um mensageiro entra na sala e informa que a estratégia correu bem e que cerca de mil inimigos foram capturados ou mortos. \r\n\tDesta forma,;DP25;A messenger enters the room and informs that about a thousand enemies were captured or killed. \r\n\tSo you:;meeting
